ID,Scholarship,Programme,University,Country,Deadline,Status,Funding,Fee,English,Elig.,Score,Competitiveness,Field,Roy Eligible?,Notes / Action,Official Link,Category
1,Chevening 2027/28,"Any eligible 1-year UK MSc (e.g. MSc Renewable Energy Engineering, Sustainable Energy Systems, Energy Policy)",Various UK universities (applicant selects and applies separately),United Kingdom,6 Oct 2026,OPEN NOW – 55 DAYS REMAINING,"Fully Funded: tuition + £1,236/mo stipend + flights + visa",Free,Kenyan English-medium education likely accepted by British Council Kenya – confirm,CE,90,Strong match – realistic,"Engineering, Energy, Sustainability, EV, Water",YES,"⚠️ CRITICAL DEADLINE. Roy's profile is EXCEPTIONAL for Chevening: Africa Fellow (Young Energy Leaders), Youth Parliament for Water, KES 50M+ investment catalyzed, 3+ years energy/EV experience, SafariCharge product founder. Leadership + development impact + return commitment = ideal Chevening candidate. START APPLICATION NOW.",https://www.chevening.org/scholarship/kenya/,Roy Priority
2,DAAD EPOS – Renewable Energy Management,MSc Renewable Energy Management,"TH Köln (University of Applied Sciences), Cologne",Germany,~31 Oct 2026 (verify at daad.de – some Oct 2026),OPEN NOW – ~80 DAYS REMAINING,Fully Funded: tuition + EUR 992/mo + flights + health insurance + preparatory German course,Free (apply direct to TH Köln),English taught; Medium of Instruction letter from JKUAT likely accepted – confirm,CE,93,Strong match – realistic,"Renewable Energy, Energy Management, Solar PV, Energy Policy",YES,"HIGHEST SCORE. Roy's PVsyst, HOMER, solar + EV + biogas experience directly matches this programme's focus. DAAD EPOS explicitly targets developing-country professionals. KES 50M+ investment, Siemens battery certification, Africa Fellow = outstanding DAAD profile.",https://www.daad-kenya.org/en/find-funding/scholarships-for-undergraduates-and-postgraduates/,Roy Priority
3,DAAD EPOS – Integrated Water Resources Management,MSc Integrated Water Resources Management,"TH Köln (University of Applied Sciences), Cologne",Germany,~31 Oct 2026 (verify at daad.de),OPEN NOW – ~80 DAYS REMAINING,Fully Funded: tuition + EUR 992/mo + flights + health insurance,Free,English taught; Medium of Instruction letter likely accepted,CE,92,Strong match – realistic,"Water Resources, Irrigation, WASH, Agricultural Water Management",YES,"Roy's Kenya Youth Parliament for Water coordination, borehole/pumping/irrigation projects, QGIS mapping, and ABE degree are exactly what DAAD EPOS – Water seeks. Apply alongside Renewable Energy DAAD at the same university.",https://www.daad.de/en/information-services-for-higher-education-institutions/further-information-on-daad-programmes/in-countryin-region-programme-in-developing-countries/,Roy Priority
4,DAAD EPOS – Hydro Science and Engineering,MSc Hydro Science and Engineering,TU Dresden,Germany,~15 Sep 2026 – VERIFY IMMEDIATELY,OPEN NOW – CHECK DEADLINE URGENTLY (~34 DAYS),Fully Funded: tuition + EUR 992/mo + flights + health insurance,Free,B2 English required; MOI letter status – confirm with TU Dresden,CE,87,Strong match – realistic,"Hydrology, Water Engineering, Flood Management, Agricultural Water",YES,⚠️ TU Dresden deadline may be September 2026 — only ~36 days. VERIFY NOW at static.daad.de. Roy's ABE hydrology modules + water projects + QGIS = strong fit. Apply as top priority after Chevening.,https://static.daad.de/media/daad_de/pdfs_nicht_barrierefrei/in-deutschland-studieren-forschen-lehren/daad_epos_deadlines.pdf,Roy Priority
5,Pan African University – PAUWES,MSc in Water and Energy Sciences including Climate Change,"PAU Institute (hosted at University of Tlemcen, Algeria)",Algeria (Africa),~Dec 2026 (previous cycle closed 15 Dec 2025; next call expected Nov/Dec 2026),OPENING SOON – Monitor from Oct 2026,Fully Funded by African Union: tuition + monthly stipend + accommodation + travel,Free,English and French instruction; African applicants exempt from English test fee; no IELTS typically required,CE,93,Strong match – realistic,"Water, Energy, Climate Change, Sustainable Development",YES,JOINT TOP SCORE. African Union-backed programme designed exactly for Roy's profile: ABE degree + water + solar + EV + climate experience. No IELTS required. His Kenya Youth Parliament for Water and community training are perfect alignment. Monitor pau-au.africa from Oct 2026. Deadline tight once announced.,https://pau-au.africa/,Roy Priority
6,Commonwealth Masters Scholarship 2027/28,"Any eligible MSc at a UK university (Energy, Water, Engineering, Environment)",Various UK universities via CSC UK + Kenya Ministry of Education nomination,United Kingdom,~20 Oct 2026 (est. opens 8 Sep 2026 – based on previous cycle),OPENING SOON – Est. opens 8 Sep 2026,"Fully Funded: tuition + £1,520-1,855/mo stipend + flights + visa + warm-clothing allowance",Free,Kenyan English-medium education accepted by CSC UK – no IELTS required,PE,80,Good match – achievable,"Engineering, Energy, Water, Agriculture, Environment",PE – ⚠️ MBA CONCERN: CSC UK states candidates should 'not have previously studied for a master's degree in the UK'. Roy's MBA is through UEL (a UK university). MUST CLARIFY with CSC UK whether online/distance MBA via Unicaf counts. Contact Ministry of Education AND CSC UK before applying.,⚠️ MBA RISK: Roy is pursuing MBA via UEL (UK institution). CSC UK requires applicants not to have previously studied for a master's in the UK. Whether a Unicaf-delivered online UEL MBA triggers this restriction must be confirmed before investing effort. Apply through Kenya Ministry of Education (not CSC directly). Kenya receives 19 MSc slots.,https://cscuk.fcdo.gov.uk/scholarships/commonwealth-masters-scholarships/,Roy Priority
7,Ireland Fellows Programme 2027/28,"Eligible 1-year MSc in Ireland (Engineering, Energy, Water, Agriculture)","Various Irish universities (UCD, UCC, Trinity, DCU, NUI Galway)",Ireland,~Feb 2027,LIKELY INELIGIBLE DUE TO MBA – CONFIRM BEFORE APPLYING,Fully Funded: tuition + flights + accommodation + living costs,Free,IELTS 6.5 required; Kenyan English education may qualify – needed to confirm,NE,45,Not recommended – confirm first,"Engineering, Energy, Water, Environment","NE – ⚠️ MBA DISQUALIFIES: Ireland Fellows explicitly states candidates must NOT 'be currently studying for [a master's degree or higher]'. Roy is enrolled in MBA 2025-2027. CONFIRMED INELIGIBLE unless: (a) Roy withdraws from MBA before applying, or (b) Irish Aid confirms Unicaf-delivered MBAs are exempt. Contact Irish Embassy Nairobi to confirm before investing any effort.",⚠️ CONFIRMED LIKELY INELIGIBLE: Ireland Fellows explicitly prohibits current master's degree enrollment. Roy is doing MBA via UEL/Unicaf 2025-2027. Do NOT apply without written confirmation from Irish Aid that the online MBA does not trigger this restriction. Contact Ireland Embassy Nairobi.,https://www.ireland.ie/en/kenya/nairobi/news-and-events/news-archive/the-ireland-fellows-programme-2026-2027-is-open/,Roy Priority
8,Stipendium Hungaricum 2027/28,"MSc Engineering Science (Energy Engineering, Environmental Engineering, Water Engineering)","Hungarian universities (BME, ÓE, MATE, University of Miskolc, etc.)",Hungary,~15 Jan 2027 (est.; previous cycle 16 Jan 2026),OPENING SOON – Est. opens Oct/Nov 2026,"Fully Funded: tuition + accommodation; monthly grant ~HUF 40,000 ≈ EUR 100",Free,English-taught programmes available; no IELTS required for English-taught tracks at Hungarian universities,CE,77,Good match – achievable,"Engineering, Energy, Water, Environment, Mechanical",YES – MBA: no impact; 2nd Class Upper meets requirement,Kenya receives 200-place quota. No IELTS required for English-taught programmes. Monthly grant is modest (~EUR 100) but accommodation is covered. Good accessible backup. Monitor Kenya Ministry of Education announcements and stipendiumhungaricum.hu from Oct 2026.,https://stipendiumhungaricum.hu/country/kenya/,Roy Priority
9,GKS – Global Korea Scholarship 2027,"MSc in Electrical Engineering, Energy Engineering, Environmental Engineering or related","Various Korean universities (KAIST, POSTECH, Hanyang, Yonsei, Korea University)",South Korea,~Sep/Oct 2026 (embassy track; confirm with Korean Embassy Nairobi),OPENING SOON – Embassy announcement expected Sep 2026,"Fully Funded: tuition + KRW 900,000/mo ≈ EUR 630/mo + flights + health insurance + Korean language course",Free,Korean language training included; English MSc programmes available; confirm IELTS requirement,LE,83,Strong match – realistic,"Engineering, Smart Grids, EV Technology, Battery, Energy Systems",YES – MBA: no impact; Age 26 meets under-40 requirement,"Korea is world leader in EV, battery storage, smart grid technology — directly aligned with Roy's certifications (Battery Tech Siemens, Electric Mobility, EV charging). Roy's SafariCharge (solar/EV planning tool) is a strong differentiator for Korean EV/battery focused universities. Contact Korean Embassy Nairobi IMMEDIATELY.",https://www.ease-initiative.org/scholarships/202/,Roy Priority
10,Manaaki New Zealand Scholarship 2027,ME or MSc in Electrical Power and Sustainable Energy / Renewable Energy Engineering,"AUT (Auckland University of Technology), University of Auckland, Massey, Victoria",New Zealand,10 Apr 2027 (portal opens 1 Mar 2027),UPCOMING – Opens 1 Mar 2027,"Fully Funded: tuition + NZD 15,000-25,000/yr living allowance + flights + medical insurance",Free,IELTS 6.5 required – check if English-medium Kenyan degree qualifies for exemption,LE,86,Strong match – realistic,"Renewable Energy, Electrical Power, Sustainable Energy, EV",PE – ⚠️ Check if current MBA enrollment affects eligibility; confirm with NZ scholarship office,"AUT has a specific precedent: Kenyan recipient (Carol Munywoki) in MSc Electrical Power & Sustainable Energy. Roy's profile (EV charging, solar, battery certifications, HOMER/PVsyst) is even stronger. Renewable energy is a Manaaki NZ priority field. IELTS 6.5 needed unless Kenyan English degree waives it.",https://www.nzscholarships.govt.nz/,Roy Priority
